aar,,aa,Afar,afar,ltr
abk,,ab,Abkhazian,abkhaze,ltr
ace,,,Achinese,aceh,ltr
ach,,,Acoli,acoli,ltr
ada,,,Adangme,adangme,ltr
ady,,,"Adyghe; Adygei",adyghé,ltr
afa,,,"Afro-Asiatic languages","afro-asiatiques, langues",ltr
afh,,,Afrihili,afrihili,ltr
afr,,af,Afrikaans,afrikaans,ltr
ain,,,Ainu,aïnou,ltr
aka,,ak,Akan,akan,ltr
akk,,,Akkadian,akkadien,ltr
alb,sqi,sq,Albanian,albanais,ltr
ale,,,Aleut,aléoute,ltr
alg,,,"Algonquian languages","algonquines, langues",ltr
alt,,,"Southern Altai","altai du Sud",ltr
amh,,am,Amharic,amharique,ltr
ang,,,"English, Old (ca.450-1100)","anglo-saxon (ca.450-1100)",ltr
anp,,,Angika,angika,ltr
apa,,,"Apache languages","apache, langues",ltr
ara,,ar,Arabic,arabe,rtl
arc,,,"Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)","araméen d'empire (700-300 BCE)",rtl
arg,,an,Aragonese,aragonais,ltr
arm,hye,hy,Armenian,arménien,ltr
arn,,,"Mapudungun; Mapuche","mapudungun; mapuche; mapuce",ltr
arp,,,Arapaho,arapaho,ltr
art,,,"Artificial languages","artificielles, langues",ltr
arw,,,Arawak,arawak,ltr
asm,,as,Assamese,assamais,ltr
ast,,,"Asturian; Bable; Leonese; Asturleonese","asturien; bable; léonais; asturoléonais",ltr
ath,,,"Athapascan languages","athapascanes, langues",ltr
aus,,,"Australian languages","australiennes, langues",ltr
ava,,av,Avaric,avar,ltr
ave,,ae,Avestan,avestique,ltr
awa,,,Awadhi,awadhi,ltr
aym,,ay,Aymara,aymara,ltr
aze,,az,Azerbaijani,azéri,ltr
bad,,,"Banda languages","banda, langues",ltr
bai,,,"Bamileke languages","bamiléké, langues",ltr
bak,,ba,Bashkir,bachkir,ltr
bal,,,Baluchi,baloutchi,rtl
bam,,bm,Bambara,bambara,ltr
ban,,,Balinese,balinais,ltr
baq,eus,eu,Basque,basque,ltr
bas,,,Basa,basa,ltr
bat,,,"Baltic languages","baltes, langues",ltr
bej,,,"Beja; Bedawiyet",bedja,ltr
bel,,be,Belarusian,biélorusse,ltr
bem,,,Bemba,bemba,ltr
ben,,bn,Bengali,bengali,ltr
ber,,,"Berber languages","berbères, langues",ltr
bho,,,Bhojpuri,bhojpuri,ltr
bih,,bh,"Bihari languages","langues bihari",ltr
bik,,,Bikol,bikol,ltr
bin,,,"Bini; Edo","bini; edo",ltr
bis,,bi,Bislama,bichlamar,ltr
bla,,,Siksika,blackfoot,ltr
bnt,,,"Bantu languages","bantou, langues",ltr
bos,,bs,Bosnian,bosniaque,ltr
bra,,,Braj,braj,ltr
bre,,br,Breton,breton,ltr
btk,,,"Batak languages","batak, langues",ltr
bua,,,Buriat,bouriate,ltr
bug,,,Buginese,bugi,ltr
bul,,bg,Bulgarian,bulgare,ltr
bur,mya,my,Burmese,birman,ltr
byn,,,"Blin; Bilin","blin; bilen",ltr
cad,,,Caddo,caddo,ltr
cai,,,"Central American Indian languages","amérindiennes de l'Amérique centrale, langues",ltr
car,,,"Galibi Carib","karib; galibi; carib",ltr
cat,,ca,"Catalan; Valencian","catalan; valencien",ltr
cau,,,"Caucasian languages","caucasiennes, langues",ltr
ceb,,,Cebuano,cebuano,ltr
cel,,,"Celtic languages","celtiques, langues; celtes, langues",ltr
cha,,ch,Chamorro,chamorro,ltr
chb,,,Chibcha,chibcha,ltr
che,,ce,Chechen,tchétchène,ltr
chg,,,Chagatai,djaghataï,ltr
chi,zho,zh,Chinese,chinois,ttb
chk,,,Chuukese,chuuk,ltr
chm,,,Mari,mari,ltr
chn,,,"Chinook jargon","chinook, jargon",ltr
cho,,,Choctaw,choctaw,ltr
chp,,,"Chipewyan; Dene Suline",chipewyan,ltr
chr,,,Cherokee,cherokee,ltr
chu,,cu,"Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic","slavon d'église; vieux slave; slavon liturgique; vieux bulgare",ltr
chv,,cv,Chuvash,tchouvache,ltr
chy,,,Cheyenne,cheyenne,ltr
cmc,,,"Chamic languages","chames, langues",ltr
cop,,,Coptic,copte,ltr
cor,,kw,Cornish,cornique,ltr
cos,,co,Corsican,corse,ltr
cpe,,,"Creoles and pidgins, English based","créoles et pidgins basés sur l'anglais",ltr
cpf,,,"Creoles and pidgins, French-based","créoles et pidgins basés sur le français",ltr
cpp,,,"Creoles and pidgins, Portuguese-based","créoles et pidgins basés sur le portugais",ltr
cre,,cr,Cree,cree,ltr
crh,,,"Crimean Tatar; Crimean Turkish","tatar de Crimé",ltr
crp,,,"Creoles and pidgins","créoles et pidgins",ltr
csb,,,Kashubian,kachoube,ltr
